topo_adm1,wiki_adm1
Aberdeen,Aberdeen City
Aberdeenshire,Aberdeenshire
Anglesey,Isle of Anglesey
Angus,Angus
Angus,Angus and Dundee City
Dundee,Angus and Dundee City
Antrim,Antrim- Newtownabbey- Lisburn
Newtownabbey,Antrim- Newtownabbey- Lisburn
Lisburn,Antrim- Newtownabbey- Lisburn
Ards,Ards- Castlereagh- Down
Castlereagh,Ards- Castlereagh- Down
Down,Ards- Castlereagh- Down
Ards,Ards- North Down
North Down,Ards- North Down
Argyll and Bute,Argyll and Bute
Armagh,Armagh- Newry and Mourne
Newry and Mourne,Armagh- Newry and Mourne
Ballymena,Ballymena- Ballymoney- Moyle
Ballymoney,Ballymena- Ballymoney- Moyle
Moyle,Ballymena- Ballymoney- Moyle
Craigavon,Craigavon- Banbridge
Banbridge,Craigavon- Banbridge
Banbridge,Down- Newry and Mourne- Banbridge
Down,Down- Newry and Mourne- Banbridge
Newry and Mourne,Down- Newry and Mourne- Banbridge
Banbridge,Down- Newry and Mourne- Banbridge
Banbridge,Lisburn- Banbridge
Lisburn,Lisburn- Banbridge
Barking and Dagenham,London (Barking and Dagenham and Havering)
Havering,London (Barking and Dagenham and Havering)
Barking and Dagenham,London (Barking and Dagenham)
Sunderland,Tyne and Wear
South Tyneside,Tyne and Wear
Gateshead,Tyne and Wear
North Tyneside,Tyne and Wear
Newcastle upon Tyne,Tyne and Wear
Barnet,London (Barnet)
Bath and North East Somerset,Bath and North East Somerset
Bedford,Bedfordshire
Belfast,Belfast- Castlereagh
Castlereagh,Belfast- Castlereagh
Belfast,Belfast- Lisburn
Lisburn,Belfast- Lisburn
Belfast,Belfast- Newtownabbey
Newtownabbey,Belfast- Newtownabbey
Bexley,London (Bexley and Greenwich)
Greenwich,London (Bexley and Greenwich)
Bexley,London (Bexley)
Blaenau Gwent,Blaenau Gwent
Bradford,West Yorkshire (Bradford)
Brent,London (Brent and Camden)
Camden,London (Brent and Camden)
Brent,London (Brent)
Bridgend,Bridgend
Bristol,Bristol
Bromley,London (Bromley and Lewisham)
Lewisham,London (Bromley and Lewisham)
Bromley,London (Bromley)
Buckinghamshire,Buckinghamshire
Caerphilly,Caerphilly
Caerphilly,Caerphilly- Newport
Newport,Caerphilly- Newport
Caerphilly,Merthyr Tydfil- Caerphilly
Merthyr Tydfil,Merthyr Tydfil- Caerphilly
Calderdale,West Yorkshire (Calderdale)
Cambridgeshire,Cambridgeshire
Camden,London (Camden)
Cardiff,Cardiff
Carmarthenshire,Carmarthenshire
Carmarthenshire,Carmarthenshire- Pembrokeshire
Pembrokeshire,Carmarthenshire- Pembrokeshire
Carmarthenshire,Carmarthenshire- Swansea
Swansea,Carmarthenshire- Swansea
Carrickfergus,Carrickfergus- Larne- Moyle
Larne,Carrickfergus- Larne- Moyle
Moyle,Carrickfergus- Larne- Moyle
Ceredigion,Ceredigion
Cheshire East,Cheshire
Cheshire West and Chester,Cheshire
Wolverhampton,West Midlands
Dudley,West Midlands
Walsall,West Midlands
Sandwell,West Midlands
Birmingham,West Midlands
